id,word,stack,description,example
85,arshift,( x1 u -- x2 ),Arithmetric right-shift of u bit-places,
86,base,( -- a-addr ),Base variable address,
87,begin,( - - ),Marks the start of an indefinite loop.,
88,bic,( x1 x2 - - x3 ),Bit clear; identical to 'not and'.,
89,bic!,( mask a-addr -- ),Clear bits in word-location,
90,binary,( -- ),Sets base to 2,
91,bis!,( mask a-addr -- ),Set bits in word-location,
92,bit@,( mask a-addr -- flag ),Test bits in word-location,
93,bl,( -- 32 ),ASCII code for Space,
94,buffer: name,( u - - ),"Creates a buffer in RAM, u bytes in length.",
95,c!,( char c-addr ),Stores byte in memory,
96,"c"" Hello""",( - - cstr-addr ),Compiles a counted string; gives its address when executed.,
97,c+!,( u,n a-addr - - ),
98,"c,",( char -- ),Appends a byte to dictionary,
99,c@,( c-addr -- char ),Fetches byte from memory,
100,"call,",( a-addr -- ),Compiles a call to a subroutine,
101,case,( n - - n ),Begins a case structure; keeps the selector value.,
102,cbic!,( mask c-addr -- ),Clear bits in byte-location,
103,cbis!,( mask c-addr -- ),Set bits in byte-location,
104,cbit@,( mask c-addr -- flag ),Test bits in byte-location,
105,cell+,( x -- x+4 ),Add size of one cell,
106,cells,( n -- 4*n ),Calculate size of n cells,
107,cexpect,( cstr-addr maxlength -- ),Read input into a counted string.,
108,char *,( - - char ),Gives the code of the following character.,
109,"cjump,",( Hole-for-Opcode Destination Bitmask ),Writes a conditional Jump to a-addr-Destination with the given Bitmask as Opcode into the halfword sized a-addr-Hole,
110,clz,( x1 -- u ),Count leading zeros,
111,compare,( caddr-1 len-1 c-addr-2 len-2 -- flag ),Compares two strings,
112,compileonly,( -- ),Makes current definition compileonly.,
113,compiletoflash,( -- ),Makes flash the target for compiling,
114,compiletoram,( -- ),Makes ram   the target for compiling,
115,compiletoram?,( -- ? ),Currently compiling into ram ?,
116,constant name,( u,n - - ),
117,count,( cstr-addr -- c-addr length ),Convert counted string into addr-length string,
118,cr,( -- ),Emits line feed,
119,create name,( - - ),Creates a definition with a default action; use <builds does> instead.,
120,ctype,( cstr-addr -- ),Prints a counted string.,
121,current-source,( -- addr ),Double-Variable which contains source,
122,cxor!,( mask c-addr -- ),Toggle bits in byte-location,
123,d+,( ud1,d1 ud2,
124,d-,( ud1,d1 ud2,
125,d.,( d -- ),Print double number,
126,d/,( d1 d2 -- d3 ),d1 / d2 = d3,
127,d/mod,( d1 d2 -- d3 d4 ),d1 / d2 = d4 remainder d3,
128,d0<,( d -- flag ),,
129,d0=,( d -- flag ),,
130,d2*,( d1 -- d2 ),Arithmetric left-shift,
131,d2/,( d1 -- d2 ),Arithmetric right-shift,
132,d<,( d1 d2 -- flag ),,
133,d<>,( d1 d2 -- flag ),,
134,d=,( d1 d2 -- flag ),,
135,d>,( d1 d2 -- flag ),,
136,dabs,( d -- ud ),Absolute value,
137,decimal,( -- ),Sets base to 10,
138,depth,( -- +n ),Gives number of single-cell stack items.,
139,dictionarynext,( a-addr -- a-addr flag ),Scans dictionary chain and returns true if end is reached,
140,dictionarystart,( -- a-addr ),Current entry point for dictionary search,
141,digit,( char -- u true,false ),
142,dint,( - - ),Disables interrupts.,
143,dnegate,( d1 -- d2 ),Negate,
144,do,( limit index - - ),Begins a loop from index up to limit.,
145,does>,( - - ),Executes with the address of stored data on the stack.,
146,drop,( x -- ),,
147,dshl,( ud1 -- ud2 ),"Logical left-shift, same as d2*",
148,dshr,( ud1 -- ud2 ),Logical right-shift,
149,du<,( ud1 ud2 -- flag ),,
150,du>,( ud1 ud2 -- flag ),,
151,dup,( x -- x x ),,
152,eint,( - - ),Enables interrupts.,
153,eint?,( - - ),Are interrupts enabled?,
154,else,( - - ),Marks the alternative branch of a conditional.,
155,emit,( char -- ),Emits a character,
156,emit?,( -- flag ),Ready to send a character ?,
157,endcase,( n - - ),Ends the case structure; discards the selector.,
158,endof,( - - ),Ends one alternative; jumps to endcase.,
159,eraseflash,( - - ),Erases everything after the Flash Dictionary; clears RAM; restarts Forth.,
160,eraseflashfrom,( a-addr - - ),Starts erasing at this address; clears RAM; restarts Forth.,
161,evaluate,( any addr len -- any ),Interpret given string,
162,even,( u1,n1 -- u2,
163,execute,( a-addr -- ),Calls subroutine,
164,exit,( - - ),Returns from the current definition; compiles a ret opcode.,
165,f#,( n-comma1 - - n-comma2 ),Adds one comma-digit to number output.,
166,f#S,( n-comma1 - - n-comma2 ),Adds 32 comma-digits to number output.,
167,f*,( df1 df2 - - df3 ),Multiplication of two fixpoint numbers.,
168,f.,( df - - ),Prints a fixpoint number with 32 fractional digits.,
169,f.n,( df n - - ),Prints a fixpoint number with n fractional digits.,
170,f/,( df1 df2 - - df3 ),Division of two fixpoint numbers.,
171,false,( -- 0 ),False flag,
172,fill,( c-addr u c ),Fill u Bytes of Memory with value c,
173,find,( c-addr len -- a-addr flags ),Searches for a String in Dictionary.,
174,flashpageerase,( a-addr - - ),Erases one 1k flash page only; no reset.,
175,flashvar-here,( -- a-addr ),Gives current RAM management pointer,
176,forgetram,( -- ),Forget definitions in ram without a reset,
177,h!,( char c-addr ),Stores halfword in memory,
178,h+!,( u,n a-addr -- ),
179,"h,",( u,n -- ),
180,h.s,( many -- many ),"Prints stack contents, unsigned, hex",
181,h@,( c-addr -- char ),Fetches halfword from memory,
182,halign,( -- ),"Makes Dictionary Pointer even, if uneven.",
183,hbic!,( mask a-addr -- ),Clear bits in halfword-location,
184,hbis!,( mask a-addr -- ),Set bits in halfword-location,
185,hbit@,( mask a-addr -- flag ),Test bits in halfword-location,
186,here,( -- a-addr,c-addr ),
187,hex,( -- ),Sets base to 16,
188,hex.,( u -- ),"Prints 32 bit unsigned in hex base, needs emit only.",
189,hflash!,( u,n a-addr - - ),
190,hold,( char -- ),Adds character to pictured number output buffer from the front.,
191,hold<,( char - - ),Adds character to pictured number output buffer from behind.,
192,hook-emit,( -- a-addr ),,
193,hook-emit?,( -- a-addr ),Hooks for redirecting,
194,hook-key,( -- a-addr ),on the fly,
195,hook-key?,( -- a-addr ),terminal IO,
196,hook-pause,( -- a-addr ),Hook for a multitasker,
197,hook-quit,( -- a-addr ),Hook for changing the inner quit loop,
198,hxor!,( mask a-addr -- ),Toggle bits in halfword-location,
199,i,( - - u,n ),
200,if,( flag - - ),Begins a conditional; consumes a flag.,
201,immediate,( -- ),Makes current definition immediate.,
202,inline,( -- ),Makes current definition inlineable.,
203,"inline,",( a-addr -- ),Inlines the choosen subroutine,
204,interpret,( any -- any ),"Execute, compile, fold, optimize...",
205,ipsr,( - - ipsr ),Interrupt program status register.,
206,irq-collection,( - - a-addr ),Collection of all unhandled interrupts.,
207,irq-fault,( - - a-addr ),Memory location for all fault IRQ hooks.,
208,irq-systick,( - - a-addr ),Memory location for the systick IRQ hook.,
209,j,( - - u,n ),
210,"jump,",( Hole-for-Opcode Destination ),Writes an unconditional Jump to a-addr-Destination with the given Bitmask as Opcode into the halfword sized a-addr-Hole,
211,k,( - - u,n ),
212,key,( -- char ),Waits for and fetches the pressed key,
213,key?,( -- flag ),Checks if a key is waiting,
214,leave,( - - ),Leaves the current innermost loop promptly.,
215,list,( - - ),Prints all defined words.,
216,"literal,",( u,n -- ),
217,loop,( - - ),Increments the loop index by one; checks whether to continue.,
218,lshift,( x1 u -- x2 ),Logical left-shift of u bit-places,
219,m*,( n1 n2 -- d ),n1 * n2 = d,
220,m/mod,( d n1 -- n2 n3 ),d / n1 = n3 remainder n2,
221,max,( n1 n2 -- n1,n2 ),
222,min,( n1 n2 -- n1,n2 ),
223,mod,( n1 n2 -- n3 ),n1 / n2 = remainder n3,
224,move,( c-addr1 c-addr2 u -- ),Moves u Bytes in Memory,
225,"movwmovt,",( x Register -- ),Generate a movw/movt-Sequence to get x into any given Register. M3/M4 only,
226,negate,( n1 -- n2 ),Negate,
227,nip,( x1 x2 -- x2 ),,
228,nop,( - - ),No operation; hook for unused handlers.,
229,not,( x1 -- x2 ),Invert all bits,
230,number,( c-addr length - - 0,n 1 double.,
231,nvariable name,( n1*u,n n1 - - ),
232,of,( m - - ),Compares m with the selector; runs up to endof if equal.,
233,or,( x1 x2 -- x3 ),Bitwise OR,
234,over,( x1 x2 -- x1 x2 x1 ),,
235,parse,( char -- c-addr len ),Cuts anything delimited by char out of input buffer,
236,pause,( -- ),"Task switch, none for default",
237,pick,( ... xi+1 xi ... x1 x0 i -- ... x1 x0 xi ),Picks one element from deep below,
238,postpone,( - - ),Postpones a word so it compiles rather than executes.,
239,query,( -- ),Fetches user input to input buffer,
240,quit,( many -- ),(R: many -- ) Resets Stacks,
241,r>,( -- x ),(R: x -- ),
242,r@,( -- x ),(R: x -- x ),
243,rdepth,( -- +n ),Gives number of return stack items.,
244,rdrop,( -- ),(R: x -- ),
245,recurse,( -- ),Lets the current definition call itself,
246,"registerliteral,",( x Register -- ),Generate shortest possible sequence to get x into given low Register.,
247,repeat,( - - ),End of a begin-while-repeat loop; jumps back to begin.,
248,reset,( - - ),Reset on hardware level.,
249,"ret,",( -- ),Compiles a ret opcode,
250,rol,( x1 -- x2 ),Logical left-rotation of one bit-place,
251,roll,( xu xu-1 ... x0 u -- xu-1 ... x0 xu ),Remove u; rotate u+1 items on the top of the stack.,
252,ror,( x1 -- x2 ),Logical right-rotation of one bit-place,
253,rot,( x1 x2 x3 -- x2 x3 x1 ),,
254,rp!,( a-addr -- ),Store return stack pointer,
255,rp@,( -- a-addr ),Fetch return stack pointer,
256,rpick,( i -- xi ),R: ( ... xi ... x0 -- ... xi ... x0 ),
257,rshift,( x1 u -- x2 ),Logical right-shift of u bit-places,
258,"s"" Hello""",( - - c-addr length ),Compiles a string; gives address and length when executed.,
259,s>d,( n -- d ),Makes a signed single number double length,
260,serial-emit,( char -- ),,
261,serial-emit?,( -- flag ),Serial interface,
262,serial-key,( -- char ),as default communications,
263,serial-key?,( -- flag ),terminal routines,
264,setflags,( char -- ),Sets Flags with a mask.,
265,setsource,( c-addr len -- ),Change source,
266,shl,( x1 -- x2 ),Logical left-shift of one bit-place,
267,shr,( x1 -- x2 ),Logical right-shift of one bit-place,
268,sign,( n -- ),"Add a minus sign to pictured number output buffer, if n is negative",
269,skipstring,( cstr-addr -- a-addr ),Increases the pointer to the aligned end of the string.,
270,smudge,( -- ),"Makes current definition visible, burns collected flags to flash and takes care of proper ending",
271,source,( -- c-addr len ),Current source,
272,sp!,( a-addr -- ),Store data stack pointer,
273,sp@,( -- a-addr ),Fetch data stack pointer,
274,space,( -- ),Emits space,
275,spaces,( n -- ),Emits n spaces if n is positive,
276,state,( -- a-addr ),Address of state variable,
277,"string,",( c-addr len -- ),Inserts a string of maximum 255 characters without runtime,
278,swap,( x1 x2 -- x2 x1 ),,
279,then,( - - ),Ends a conditional; the paths merge here.,
280,tib,( -- cstr-addr ),Input buffer,
281,token,( -- c-addr len ),Cuts one token out of input buffer,
282,true,( -- -1 ),True flag,
283,tsource,( c-addr len - - ),Change source.,
284,tuck,( x1 x2 -- x2 x1 x2 ),,
285,type,( c-addr length -- ),Prints a string.,
286,u*/,( u1 u2 u3 -- u4 ),u1 * u2 / u3 = u4,
287,u*/mod,( u1 u2 u3 -- u4 u5 ),u1 * u2 / u3 = u5 remainder u4,
288,u.,( u -- ),Print unsigned single number,
289,u.s,( many -- many ),"Prints stack contents, unsigned",
290,u/mod,( u1 u2 -- u3 u4 ),32/32 = 32 rem 32 Division,
291,u<,( u1 u2 -- flag ),,
292,u<=,( u1 u2 -- flag ),Unsigned comparisons,
293,u>,( u1 u2 -- flag ),,
294,u>=,( u1 u2 -- flag ),,
295,ud*,( ud1,d1 ud2,
296,ud.,( ud -- ),Print unsigned double number,
297,ud/mod,( ud1 ud2 -- ud3 ud4 ),64/64 = 64 rem 64 Division,
298,udm*,( ud1 ud2 -- ud3-Low ud4-High ),64*64=128 Multiplication,
299,um*,( u1 u2 -- ud ),32*32 = 64 Multiplication,
300,um/mod,( ud u1 -- u2 u3 ),ud / u1 = u3 remainder u2,
301,umax,( u1 u2 -- u1,u2 ),
302,umin,( u1 u2 -- u1,u2 ),
303,unhandled,( - - ),Message for unhandled interrupts.,
304,unloop,( R: old-limit old-index - - ),Drops the innermost loop structure; restores old loop values.,
305,until,( flag - - ),Ends a begin loop; repeats while the flag is false.,
306,unused,( -- u ),Get current amount of free memory,
307,variable name,( u,n - - ),
308,while,( flag - - ),Checks a flag mid-loop; exits if false.,
309,Word,Stack Comment,Description,
310,words,( -- ),Prints list of defined words.,
311,xor,( x1 x2 -- x3 ),Bitwise Exclusive-OR,
312,xor!,( mask a-addr -- ),Toggle bits in word-location,
